iter	Passed	Remaining
0	1	136
1	2	124
2	3	113
3	4	105
4	5	100
5	6	96
6	7	93
7	8	92
8	8	90
9	9	87
10	10	86
11	11	85
12	12	84
13	13	83
14	14	82
15	15	80
16	16	78
17	16	76
18	17	75
19	18	73
20	19	72
21	20	72
22	21	71
23	22	71
24	23	70
25	24	69
26	25	68
27	26	68
28	27	67
29	28	66
30	29	65
31	30	64
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	59
39	38	58
40	39	57
41	40	55
42	41	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	50	45
53	51	43
54	52	42
55	52	41
56	54	40
57	55	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	34
63	60	34
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	71	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	17
81	76	16
82	77	15
83	78	14
84	79	14
85	80	13
86	81	12
87	82	11
88	82	10
89	83	9
90	84	8
91	85	7
92	85	6
93	86	5
94	87	4
95	88	3
96	88	2
97	89	1
98	90	0
99	91	0
